,County,Population,Male,Female,White,Black,Minority,Housing Units,Aggregate Rent Spent By All Renter Housing Units,Rental Units For Which Rent Expenditures Calculated,Occupation Of Residents 16 Or Older - Professional And Managerial,"Occupation Of Residents 16 Or Older - Sales, Office And Administrative Support",Occupation Of Residents 16 Or Older - Services,"Occupation Of Residents 16 Or Older - Farming, Forestry, Or Fishing","Occupation Of Residents 16 Or Older - Construction, Extraction And Maintenance","Occupation Of Residents 16 Or Older - Production, Transportation And Material Moving",Work Classification Of Residents 16 Or Older - Private For-Profit Wage And Salary Workers,Work Classification Of Residents 16 Or Older - Private Non-Profit Wage And Salary Workers,Work Classification Of Residents 16 Or Older - Government Workers,Work Classification Of Residents 16 Or Older - Self-Employed Workers,Work Classification Of Residents 16 Or Older - Unpaid Family Workers,Means Of Travel To Work Of Employed Persons 16 Or Older - Drove Alone,Means Of Travel To Work Of Employed Persons 16 Or Older - Carpool,Means Of Travel To Work Of Employed Persons 16 Or Older - Public Transit,Means Of Travel To Work Of Employed Persons 16 Or Older - Taxicab,Means Of Travel To Work Of Employed Persons 16 Or Older - Motorcycle,Means Of Travel To Work Of Employed Persons 16 Or Older - Bicycle,Means Of Travel To Work Of Employed Persons 16 Or Older - Walked,Means Of Travel To Work Of Employed Persons 16 Or Older - Other Means,Means Of Travel To Work Of Employed Persons 16 Or Older - Worked At Home,"Households With Income Less Than $10,000","Households With Income $10,000-$14,999","Households With Income $15,000-$19,999","Households With Income $20,000-$24,999","Households With Income $25,000-$29,999","Households With Income $30,000-$34,999","Households With Income $35,000-$39,999","Households With Income $40,000-$44,999","Households With Income $45,000-$49,999","Households With Income $50,000-$59,999","Households With Income $60,000-$74,999","Households With Income $75,000-$99,999","Households With Income $100,000-$124,999","Households With Income $125,000-$149,999","Households With Income $150,000-$199,999","Households With Income $200,000 Or More",White Persons Among Whom Poverty Status Was Determined,Black Persons Among Whom Poverty Status Was Determined,Persons In Poverty,White Persons In Poverty,Black Persons In Poverty
586,Jackson,2340,1135,1205,2129,102,269,848,120169.0,176,371,474,167,0,105,112,870,90,123,145,0,1194,0,0,0,0,0,0,10,11,2,15,23,29,26,44,78,69,47,83,91,101,111,63,37,10,2074,109,60,48,0
359,Jackson,1338,615,723,81,1210,1267,617,74159.0,125,167,170,82,0,65,109,374,54,123,42,0,466,52,35,0,0,19,0,12,0,39,18,8,24,45,52,49,20,13,37,62,85,48,8,10,8,190,1039,186,15,171
166,Clay,1261,634,627,1203,17,88,502,36383.0,84,224,54,59,63,46,87,414,59,32,27,0,465,42,0,0,0,0,3,0,22,13,4,13,33,35,13,15,17,32,57,49,79,64,11,26,9,1133,62,91,39,47
681,Jackson,852,505,347,756,48,110,690,501097.0,415,491,105,37,0,0,33,437,58,74,96,0,464,66,9,0,0,9,88,0,29,21,10,5,7,34,45,20,33,25,49,90,110,44,32,28,20,624,49,71,41,30
94,Clay,709,380,329,680,8,55,368,69653.0,132,66,92,65,0,39,51,260,15,14,25,0,239,50,0,0,0,0,3,0,15,37,22,22,26,11,19,28,23,24,40,35,31,6,3,2,0,647,10,87,81,2
159,Clay,1822,911,911,1553,156,329,471,72510.0,145,190,196,165,6,37,69,440,129,66,28,0,487,47,5,0,0,5,79,0,40,97,11,16,18,10,18,15,26,24,41,42,18,5,15,27,10,1272,76,230,226,4
172,Clay,2531,1195,1336,2423,29,156,992,160614.0,225,236,445,170,0,60,164,802,68,154,51,0,882,160,0,0,0,0,18,0,1,37,48,11,45,111,70,16,43,68,127,134,115,66,26,4,18,2275,33,185,146,21
609,Jackson,1830,892,938,1558,135,327,646,201029.0,239,254,356,76,0,110,69,536,96,164,69,0,780,37,12,0,0,0,0,0,24,54,12,11,34,57,29,39,16,9,39,81,108,65,26,29,11,1669,100,101,99,0
547,Jackson,679,251,428,178,460,513,260,36249.0,188,77,42,19,0,0,45,138,27,0,17,0,116,2,0,0,0,0,0,25,0,118,16,0,21,33,3,0,17,6,0,0,4,7,2,7,7,414,201,266,122,142
807,Platte,756,351,405,694,18,74,316,59165.0,125,108,72,50,0,60,10,156,48,75,21,0,262,22,0,0,0,0,1,8,7,52,18,28,0,0,0,8,4,6,21,47,68,30,21,0,0,685,34,73,71,1
576,Jackson,1669,785,884,1479,100,233,711,172922.0,213,471,145,141,0,23,31,505,150,84,71,0,733,13,0,0,0,0,16,0,13,4,36,42,11,35,20,28,22,42,97,115,104,43,27,47,11,1360,150,57,33,24
573,Jackson,2548,1232,1316,2219,191,371,995,29909.0,58,761,364,238,0,58,107,1062,208,145,111,0,1278,122,13,0,0,0,0,0,62,0,3,8,5,14,39,54,38,23,63,135,198,132,91,66,44,2294,116,113,113,0
33,Cass,912,475,437,889,10,38,359,18736.0,21,126,100,94,0,61,46,284,0,59,84,0,269,90,0,0,0,0,13,0,45,0,1,23,41,5,8,3,28,41,63,45,38,33,7,0,0,872,1,75,69,0
408,Jackson,738,359,379,403,262,368,386,102000.0,179,107,75,55,0,17,67,248,11,53,9,0,267,42,10,0,0,0,0,0,9,27,32,14,10,44,33,3,30,32,44,35,24,8,5,0,0,270,342,200,48,117
778,Platte,1340,639,701,1153,88,212,616,134525.0,218,311,264,85,0,0,83,527,107,34,76,0,559,67,40,0,0,0,46,0,32,21,9,9,19,48,60,25,65,27,43,70,24,19,42,50,35,1231,1794,128,120,202
351,Jackson,625,267,358,38,562,588,342,99134.0,181,43,76,82,0,0,74,148,54,18,55,0,221,24,23,0,0,0,0,0,0,64,32,34,12,14,24,22,25,23,28,12,6,0,1,3,0,28,571,185,7,175
336,Jackson,1156,560,596,1075,30,96,479,16629.0,8,393,165,6,0,17,0,323,93,36,126,4,466,54,5,0,0,4,16,0,21,0,0,4,10,3,8,27,15,16,30,27,58,78,49,67,71,1113,14,15,15,0
613,Jackson,2877,1357,1520,2566,165,438,1071,154325.0,255,555,315,436,0,110,186,1148,158,195,101,0,1113,170,80,0,0,0,10,186,34,80,39,21,35,52,51,46,70,28,63,136,161,113,59,53,26,2464,75,251,157,0
575,Jackson,2604,1251,1353,2344,138,328,958,115944.0,144,634,346,111,0,59,193,1043,91,153,57,0,1127,84,17,0,0,0,0,17,38,11,62,19,24,27,27,13,20,32,90,150,181,169,71,22,12,2370,90,446,442,0
199,Clay,580,314,266,461,67,147,361,104354.0,205,82,22,154,0,0,11,243,0,27,0,0,111,107,0,0,0,11,41,0,0,0,0,26,83,41,8,6,23,40,45,3,23,27,0,0,0,514,10,53,49,9
107,Clay,1778,816,962,1530,140,303,972,292413.0,435,279,270,184,0,46,73,563,93,30,164,0,706,107,0,0,0,0,15,0,23,26,24,69,107,62,67,62,31,77,117,51,98,61,10,31,0,1594,30,168,161,0
536,Jackson,1182,541,641,453,648,768,433,45081.0,56,284,151,75,0,33,37,343,64,134,38,0,505,51,15,0,0,0,0,0,9,0,0,3,29,44,13,0,0,14,43,67,91,65,18,28,0,407,702,71,36,25
210,Clay,447,235,212,414,4,44,244,47410.0,111,27,54,60,0,21,39,98,52,31,20,0,176,18,0,0,0,0,6,0,0,7,16,31,25,34,9,9,9,15,24,14,11,4,3,1,0,425,5,26,25,0
399,Jackson,734,364,370,674,32,64,313,6634.0,17,201,63,0,0,0,16,106,27,73,73,0,259,7,0,0,0,0,0,0,13,0,0,3,10,24,23,4,0,25,47,26,16,21,10,40,52,582,40,56,23,0
433,Jackson,1453,719,734,1294,34,184,625,47991.0,123,367,168,56,0,113,38,528,39,128,47,0,635,73,0,0,0,0,17,0,16,92,13,33,53,19,22,41,16,38,65,48,95,45,0,0,0,1275,60,207,177,26
430,Jackson,1065,524,541,903,57,227,532,85408.0,153,64,201,106,0,37,192,495,78,18,9,0,553,42,0,0,0,0,5,0,0,44,34,3,24,70,62,46,16,5,11,26,65,17,0,0,0,1018,15,171,170,1
335,Jackson,623,293,330,552,34,86,330,38739.0,54,329,48,69,0,8,20,302,59,90,23,0,438,0,15,0,0,0,0,12,8,0,2,17,21,0,0,15,13,15,22,24,52,24,42,51,19,571,18,51,45,0
792,Platte,1949,952,997,1853,16,167,776,28537.0,29,630,343,63,0,78,14,697,83,188,159,0,949,22,0,0,0,0,9,0,120,23,0,2,9,21,19,31,34,15,31,84,145,75,72,84,103,1731,47,149,98,4
349,Jackson,1149,509,640,104,993,1050,519,100431.0,202,64,215,99,0,45,94,352,9,72,55,29,299,66,83,0,0,0,0,0,69,47,61,58,45,51,11,40,17,2,17,40,34,0,0,0,0,115,939,347,54,293
695,Jackson,658,322,336,15,618,647,387,47028.0,132,44,133,72,0,0,73,283,0,38,0,0,270,5,43,0,0,0,0,0,0,61,30,7,22,26,12,3,1,8,43,63,2,4,0,0,0,40,564,108,10,88
705,Jackson,822,379,443,133,646,706,472,97626.0,195,122,87,22,0,0,7,177,11,46,5,0,159,0,80,0,0,0,0,0,0,78,68,13,25,8,36,33,3,0,12,26,8,13,9,4,0,53,742,196,0,196
545,Jackson,897,459,438,716,108,222,394,80659.0,188,123,100,122,0,27,11,290,35,16,42,0,308,53,0,0,0,0,18,4,0,62,45,27,4,23,24,25,10,6,14,17,25,27,24,10,0,547,266,352,162,188
689,Jackson,549,236,313,20,506,530,392,88957.0,175,62,23,35,0,48,6,84,28,41,21,0,140,11,2,0,0,0,0,0,0,45,24,27,37,32,1,19,10,26,36,0,4,9,4,4,0,107,391,144,44,97
697,Jackson,681,336,345,27,629,658,411,51175.0,132,25,24,166,0,14,6,83,106,18,28,0,184,0,29,0,0,0,0,0,23,77,55,46,3,0,7,34,15,2,3,3,3,6,0,0,0,102,500,283,72,200
506,Jackson,845,403,442,251,480,606,354,6432.0,17,94,115,48,0,92,60,283,25,73,27,0,362,22,24,0,0,0,0,0,0,3,17,21,23,9,10,0,0,15,60,83,26,38,7,0,0,420,440,99,54,82
134,Clay,2082,1012,1070,1728,92,445,891,54491.0,53,608,256,147,0,38,151,856,124,185,35,0,951,179,0,0,0,0,0,0,28,18,17,30,21,12,26,55,64,37,72,127,173,106,42,20,36,1833,55,32,32,0
217,Jackson,1168,611,557,588,100,802,431,85296.0,195,62,74,135,0,0,57,219,47,19,43,0,257,42,13,0,0,0,17,0,0,131,97,29,6,14,20,10,7,2,5,9,8,17,3,9,0,749,23,518,358,23
739,Jackson,886,438,448,804,20,104,405,52371.0,99,172,157,89,0,72,80,446,52,64,8,0,464,67,0,0,0,0,0,0,10,4,24,22,3,15,18,22,15,23,47,44,48,41,13,16,0,808,40,158,145,7
590,Jackson,650,330,320,601,22,55,231,11312.0,9,243,43,15,0,20,9,209,36,85,0,0,314,12,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,6,20,30,23,15,26,26,62,569,47,17,14,0
164,Clay,2280,1056,1224,2159,39,182,989,128900.0,176,580,280,157,0,107,24,690,115,151,191,0,1008,52,0,0,0,0,0,0,72,25,18,0,6,19,15,20,31,39,61,85,168,97,123,108,107,2051,134,140,140,0
287,Jackson,599,277,322,10,558,590,333,69072.0,127,57,79,61,0,0,42,196,0,18,10,15,109,65,24,0,0,0,0,0,22,25,16,28,32,37,14,3,33,30,27,5,16,0,0,0,0,29,548,262,20,229
656,Jackson,3689,1899,1790,3550,18,221,1343,8689.0,11,795,426,187,0,279,226,1228,168,280,237,0,1478,213,18,0,0,0,0,15,180,12,15,13,37,30,30,22,52,71,126,171,304,199,82,57,49,3590,1,164,151,0
515,Jackson,1524,702,822,474,929,1088,645,42933.0,129,134,119,79,0,0,192,376,63,52,33,0,465,38,0,0,0,0,0,14,0,9,52,32,57,85,45,31,33,22,67,104,26,6,0,1,6,424,996,319,33,243
343,Jackson,852,406,446,646,168,235,369,57432.0,87,284,123,59,0,15,15,150,202,62,83,0,369,0,33,0,0,17,1,0,31,17,24,16,37,13,40,24,9,11,16,19,33,15,19,36,16,769,26,38,38,0
373,Jackson,1232,571,661,356,757,901,770,230375.0,527,79,295,173,0,18,101,361,166,140,0,0,550,0,117,0,0,0,0,0,0,287,125,41,23,0,22,26,5,6,11,11,18,14,0,3,15,775,319,204,49,142
437,Jackson,2690,1156,1534,1818,460,965,1159,323803.0,770,86,267,96,0,48,156,543,19,52,31,7,557,66,0,0,0,0,0,0,6,501,36,69,39,36,23,45,40,39,82,84,33,17,9,10,0,1929,397,1336,884,218
308,Jackson,915,496,419,547,60,385,390,149940.0,228,452,183,78,0,0,0,479,102,81,51,0,540,46,0,0,0,0,69,24,26,76,17,46,24,4,11,8,14,15,27,29,27,27,4,14,13,707,13,151,116,0
259,Jackson,1090,497,593,438,535,680,577,227638.0,392,177,131,79,0,12,29,266,61,80,20,0,266,42,60,0,0,0,45,0,0,154,91,31,41,15,25,38,14,4,14,22,12,12,14,4,0,631,340,371,118,238
363,Jackson,802,394,408,725,36,84,360,28153.0,24,400,70,42,16,12,16,280,81,44,151,0,481,15,28,0,0,0,0,0,32,23,4,16,8,0,8,22,21,24,35,19,42,52,13,43,19,694,82,44,43,0
477,Jackson,1575,742,833,1444,33,168,718,110019.0,169,98,158,127,0,134,71,392,31,117,48,0,465,76,0,0,0,0,0,15,25,48,62,46,12,37,60,59,48,10,40,96,58,21,10,31,0,1495,24,131,127,0
162,Jackson,735,357,378,23,667,719,338,36909.0,113,65,58,77,0,33,21,181,44,20,10,0,194,11,38,0,0,0,0,0,0,44,30,46,15,0,5,16,14,3,14,29,7,12,4,0,0,13,702,309,10,283
497,Jackson,692,335,357,503,160,196,321,0.0,13,108,127,28,0,81,35,295,21,63,0,0,302,17,23,0,0,0,0,0,37,5,4,18,20,8,10,28,23,16,40,58,39,15,22,0,0,547,123,28,19,9
644,Jackson,1189,558,631,1122,16,105,492,28757.0,38,171,273,77,0,79,91,406,43,154,89,0,566,77,11,0,0,0,0,0,18,12,2,5,14,29,22,31,19,34,54,52,103,21,11,37,21,1037,42,23,20,0
663,Jackson,1931,976,955,1848,16,113,749,19406.0,58,319,214,186,0,161,131,635,127,182,66,0,805,87,16,0,0,13,0,0,56,12,17,38,38,38,24,26,24,39,63,52,102,77,38,87,14,1840,19,105,102,0
432,Jackson,2048,995,1053,1754,116,366,868,125387.0,268,215,261,157,0,109,189,719,56,54,101,0,826,58,0,0,0,0,0,0,9,15,50,72,77,76,83,39,40,31,56,92,106,7,0,6,29,1652,126,425,277,79
633,Jackson,2220,1056,1164,1989,115,285,1089,228098.0,374,481,183,168,0,47,98,620,36,251,70,0,819,45,0,0,0,29,0,8,49,24,108,90,78,89,51,24,43,36,42,42,120,93,61,86,20,1959,58,125,125,0
623,Jackson,2613,1279,1334,2424,96,238,1107,13712.0,16,740,344,131,0,15,112,749,205,146,242,0,1103,44,18,0,0,0,0,0,141,15,21,74,28,36,31,34,38,21,77,157,141,92,96,107,85,1977,418,285,78,204
493,Jackson,1832,878,954,1249,493,612,726,114343.0,208,261,193,108,0,58,49,478,30,116,47,0,558,101,0,0,0,0,0,0,11,83,27,8,42,82,63,37,55,20,41,72,46,67,29,5,24,1351,357,186,132,48
485,Jackson,772,350,422,572,139,218,342,20431.0,38,215,124,37,0,47,49,284,129,60,0,0,451,16,0,0,0,0,0,6,0,16,14,26,14,6,0,31,16,9,24,46,65,14,22,11,9,578,121,40,27,6
643,Jackson,3709,1773,1936,3096,371,712,1798,768527.0,1019,879,535,438,0,193,118,1284,276,475,128,0,2013,85,0,0,0,0,0,27,15,99,42,79,143,90,86,114,129,103,175,187,179,89,43,68,27,3142,326,399,321,78
480,Jackson,963,472,491,815,69,184,462,27426.0,66,103,93,112,0,10,49,271,44,34,19,0,326,14,16,0,0,0,0,13,0,10,21,51,37,17,43,59,48,21,28,29,23,27,13,0,0,741,83,70,47,21
484,Jackson,617,260,357,511,64,114,268,28253.0,66,80,72,85,0,0,15,101,7,92,51,0,208,29,0,0,0,0,0,0,13,6,2,14,13,0,12,35,17,22,42,33,20,2,5,6,0,462,97,32,22,5
292,Jackson,803,396,407,591,126,247,481,104917.0,203,279,113,70,0,48,30,324,101,50,58,7,374,80,27,0,0,0,39,0,21,33,28,19,47,35,27,28,21,22,34,24,22,19,26,11,0,586,193,158,101,57
692,Jackson,551,309,242,112,362,456,285,42596.0,93,28,54,40,0,31,32,162,0,22,0,0,143,14,13,0,0,0,0,14,0,21,23,24,42,47,14,3,9,3,0,2,6,0,0,0,0,122,331,195,36,84
365,Jackson,714,313,401,588,71,145,371,82257.0,134,182,100,33,0,10,75,258,74,52,16,0,359,37,0,0,0,0,4,0,0,9,11,10,21,26,30,63,36,13,18,22,45,30,7,6,5,618,73,39,38,0
653,Jackson,744,366,378,711,3,49,349,60887.0,123,60,80,95,0,49,38,257,12,34,19,0,249,61,5,0,0,0,6,0,0,26,59,28,34,20,13,0,0,13,33,39,21,0,0,4,21,730,0,98,96,0
776,Platte,2025,975,1050,1729,169,366,1209,358962.0,460,536,268,158,0,78,98,797,92,132,118,0,992,45,0,0,0,0,8,3,79,79,25,10,18,72,68,39,80,50,69,101,149,82,64,96,56,1861,2711,193,181,306
658,Jackson,1501,714,787,159,1243,1360,553,147831.0,455,61,33,101,0,0,51,212,8,25,0,0,159,46,12,0,0,0,8,0,19,244,46,56,17,31,52,29,4,0,0,0,0,0,0,0,0,221,1173,938,119,729
668,Jackson,2115,1026,1089,1873,45,299,763,94865.0,124,292,269,174,14,101,199,807,89,137,17,0,929,77,12,0,0,0,0,0,10,6,34,13,12,16,62,41,29,45,66,84,184,60,39,30,9,1920,39,302,287,7
492,Jackson,2622,1244,1378,1837,610,842,1110,183845.0,298,537,567,111,0,57,140,1072,113,127,101,0,1213,54,0,0,0,0,0,0,125,50,42,48,14,16,60,82,84,76,134,147,148,101,28,27,0,1933,512,266,190,69
379,Jackson,574,281,293,70,470,516,437,94573.0,245,11,42,86,0,0,25,132,13,19,0,0,87,30,47,0,0,0,0,0,0,102,28,64,24,6,6,0,0,1,6,8,5,9,0,0,0,176,363,204,50,135
51,Cass,1423,703,720,1375,6,59,586,71032.0,162,165,144,79,9,120,73,415,38,97,40,0,437,99,0,0,0,0,25,0,13,47,72,35,20,22,32,23,35,34,54,55,57,37,10,4,0,1375,2,134,133,0
125,Clay,796,377,419,721,18,109,346,0.0,40,141,94,8,0,28,82,288,31,25,8,0,314,0,0,0,0,0,17,15,0,4,7,8,48,45,0,28,14,12,23,36,76,12,4,3,14,739,33,46,34,12
189,Clay,1389,672,717,1356,0,77,459,0.0,0,392,265,93,0,32,99,639,19,113,110,0,724,100,0,0,0,0,0,0,56,12,0,0,0,7,15,6,10,9,23,57,109,83,38,53,33,1298,2,39,31,0
332,Jackson,734,373,361,644,32,113,345,21637.0,30,274,74,59,0,8,8,328,17,26,52,0,376,0,22,0,0,0,11,2,12,0,2,9,10,36,30,6,3,4,16,23,18,49,51,54,19,673,21,60,53,0
486,Jackson,1524,747,777,1106,294,457,697,72931.0,132,142,196,108,0,47,143,493,26,56,61,0,577,13,29,0,0,0,0,6,12,36,31,35,56,49,25,24,18,41,72,79,139,24,0,1,5,1140,239,79,54,11
364,Jackson,1220,568,652,1066,70,187,643,121284.0,175,555,151,70,0,54,30,492,220,76,72,0,677,54,34,0,0,0,25,36,32,38,25,10,20,21,12,18,42,50,68,59,103,56,28,45,20,1055,125,66,66,0
676,Jackson,475,265,210,358,8,186,292,66742.0,99,102,66,0,0,43,66,241,1,28,6,0,162,95,1,0,0,0,0,0,10,49,5,15,19,13,6,3,6,11,27,35,18,4,5,0,0,359,359,260,158,158
385,Jackson,1019,487,532,899,55,170,561,21518.0,41,322,234,91,0,45,42,433,80,92,128,0,653,45,0,0,0,0,19,0,8,9,18,2,21,34,62,67,32,44,76,58,48,31,11,1,7,715,260,79,40,35
703,Jackson,1053,619,434,840,79,327,697,253558.0,420,206,145,244,0,92,83,549,103,90,28,0,538,74,0,0,0,0,71,88,0,42,36,31,53,69,63,57,23,27,70,86,51,7,0,0,0,801,127,244,155,72
447,Jackson,952,462,490,799,79,200,430,67821.0,127,40,60,119,0,49,43,194,10,66,41,0,221,59,0,0,0,0,31,0,0,7,52,57,11,25,69,40,4,14,26,15,23,23,0,0,0,769,51,244,175,46
782,Platte,2807,1423,1384,2369,178,558,1053,326096.0,325,678,389,199,0,73,195,1086,97,222,128,0,1302,113,8,0,0,0,10,27,15,31,20,61,0,25,32,5,23,30,79,145,224,204,75,39,15,2397,4400,210,171,342
274,Jackson,883,419,464,50,763,833,464,64378.0,148,32,97,106,0,20,56,191,18,61,42,0,210,24,46,0,0,0,0,6,17,83,43,30,18,38,14,1,16,7,10,22,25,8,0,0,0,30,777,351,0,285
355,Jackson,627,282,345,12,583,618,271,37260.0,46,32,58,84,0,0,40,116,28,51,19,0,142,14,33,0,0,0,0,0,9,28,21,26,8,21,18,9,22,9,12,28,32,7,0,0,0,11,589,238,1,218
752,Jackson,1544,751,793,1342,86,274,574,81438.0,95,210,293,70,0,107,72,595,70,73,13,0,637,65,0,0,0,0,0,31,0,0,8,42,46,33,14,0,11,9,42,93,109,87,30,32,0,1349,102,122,87,0
693,Jackson,1322,668,654,399,711,1093,668,147322.0,330,39,20,223,0,69,197,490,11,0,47,0,342,99,16,0,0,0,0,28,0,158,40,62,35,34,43,33,24,13,12,4,16,4,0,0,0,292,793,469,88,202
154,Clay,3314,1649,1665,2971,113,495,1066,70473.0,76,840,445,203,0,0,145,1017,192,368,56,0,1313,214,16,0,0,0,0,0,76,0,0,10,26,8,9,13,36,30,45,106,292,218,101,89,43,2619,383,248,82,124
303,Jackson,1219,605,614,1134,22,128,745,224152.0,234,542,76,108,0,18,7,490,60,93,107,0,608,34,9,0,0,0,19,10,65,47,68,11,12,23,21,36,36,39,68,67,72,57,52,37,38,1152,7,163,163,0
476,Jackson,1803,841,962,1663,52,169,875,40937.0,73,345,165,101,10,50,77,442,91,92,124,0,674,48,14,0,0,0,1,0,14,51,27,33,40,63,52,65,42,30,57,76,102,76,42,32,25,1711,28,150,145,0
682,Jackson,633,483,150,419,183,244,252,155428.0,189,138,82,55,0,0,14,205,30,31,23,0,138,14,0,0,0,0,96,5,24,19,12,9,8,3,7,15,17,21,33,22,20,8,4,13,0,464,37,53,30,23
759,Platte,1528,762,766,1363,95,211,619,0.0,0,414,205,76,0,68,56,470,128,132,89,0,686,19,41,0,0,0,0,0,56,8,14,15,18,9,23,42,34,18,47,92,111,86,40,34,0,1250,152,119,65,25
498,Jackson,1394,614,780,1039,260,393,718,138537.0,177,250,167,25,0,181,129,651,36,51,16,0,695,39,0,0,0,0,3,0,16,39,16,36,31,13,34,40,43,72,107,76,99,8,11,0,0,1102,248,57,38,19
402,Jackson,1370,667,703,870,376,523,562,33698.0,50,144,89,98,0,35,106,233,73,83,82,0,414,17,0,0,0,0,0,0,41,2,17,37,33,29,40,26,10,29,88,104,37,67,2,0,0,766,484,87,38,49
192,Clay,659,330,329,645,6,28,259,0.0,0,100,53,105,0,78,48,296,76,12,0,0,310,42,0,0,0,0,0,33,0,0,0,0,4,13,29,32,26,6,5,25,60,26,3,12,13,618,0,28,28,0
81,Clay,1100,537,563,818,181,330,611,391665.0,517,298,100,96,0,44,147,546,44,76,18,0,615,41,0,0,0,0,14,0,0,12,15,30,49,49,45,48,23,20,46,69,72,35,21,2,12,834,834,227,97,97
86,Clay,1237,580,657,899,165,389,512,113402.0,147,256,274,119,0,94,84,677,63,63,24,0,604,184,0,0,0,0,23,0,0,12,22,19,6,30,51,35,19,15,23,41,116,74,10,3,0,948,81,129,96,26
661,Jackson,4019,1980,2039,3746,111,379,1406,41756.0,21,1208,563,247,0,151,123,1420,241,366,266,0,2046,123,5,0,0,0,11,14,90,20,19,11,18,28,26,55,43,43,78,117,254,218,178,179,85,3779,46,117,117,0
341,Jackson,745,374,371,685,19,70,340,0.0,0,295,135,6,0,7,0,237,9,54,144,0,350,0,0,0,0,0,0,0,84,32,9,0,0,0,0,0,7,9,9,9,51,57,17,39,89,716,11,21,21,0
446,Jackson,1014,479,535,837,53,221,490,49055.0,98,76,104,69,0,27,68,181,48,115,0,0,298,46,0,0,0,0,0,0,0,17,20,54,68,28,36,64,32,14,19,20,42,15,1,0,0,819,55,260,186,49
407,Jackson,1108,535,573,520,455,604,626,270658.0,507,101,181,69,9,48,209,403,72,27,114,0,459,0,0,0,0,0,0,53,104,101,21,3,15,89,82,104,63,28,34,0,0,5,8,0,0,576,193,281,144,51
555,Jackson,3438,1675,1763,2260,800,1261,1629,513714.0,924,364,275,556,0,153,463,1513,119,125,53,0,1389,323,12,0,0,0,12,15,0,209,168,102,124,178,92,123,108,56,72,73,107,18,0,0,0,2734,570,949,719,196
457,Jackson,863,415,448,706,47,185,417,112751.0,218,96,93,114,0,9,46,255,84,18,0,0,320,37,0,0,0,0,0,0,0,37,48,32,45,18,20,30,27,12,16,35,68,4,0,0,0,717,134,150,131,19
600,Jackson,2922,1328,1594,2529,187,460,1443,455629.0,756,239,504,377,0,195,134,1098,77,117,158,0,1043,224,27,0,0,0,27,24,51,126,110,74,107,123,129,83,79,65,88,96,122,25,31,17,12,2435,179,318,224,12
23,Cass,1040,518,522,1003,6,50,402,30608.0,45,248,143,51,0,44,48,393,53,45,42,0,476,0,0,0,0,0,0,0,58,0,0,3,9,20,17,6,12,16,42,60,54,63,43,21,20,1003,11,10,10,0
719,Jackson,925,469,456,658,195,289,529,186940.0,278,185,130,74,0,44,28,278,63,56,65,0,352,10,32,0,0,0,7,6,55,64,21,9,31,33,15,21,42,33,47,54,61,19,12,22,6,758,127,69,40,14
344,Jackson,1156,546,610,1057,55,132,552,66171.0,56,522,148,116,0,29,0,474,97,181,45,17,727,0,12,0,0,21,21,0,16,0,8,23,6,23,14,23,12,13,25,41,95,64,50,41,90,1043,36,51,51,0
628,Jackson,1409,666,743,647,676,776,694,214565.0,316,261,215,137,0,26,97,578,68,56,35,0,645,48,2,0,0,0,0,0,19,37,12,28,31,59,69,38,65,67,85,49,26,3,7,22,11,961,1001,84,43,44
120,Clay,775,362,413,724,18,76,325,60987.0,68,127,36,65,0,34,90,269,55,16,13,0,315,38,0,0,0,0,0,0,0,14,0,0,0,0,0,10,15,33,54,43,67,30,32,9,0,705,40,83,81,2
780,Platte,2470,1222,1248,2308,49,223,1011,48154.0,63,682,282,142,2,38,100,721,103,177,242,0,998,63,6,0,0,0,0,3,153,46,33,6,15,21,22,35,40,21,45,89,150,131,69,101,139,2357,45,63,63,0
745,Jackson,2671,1247,1424,2307,239,420,1026,78982.0,85,472,468,100,0,147,152,848,84,245,161,0,1182,124,0,0,0,0,0,0,32,34,21,38,39,34,7,46,78,44,76,122,192,156,39,44,10,2182,206,64,48,16
262,Jackson,587,293,294,448,66,165,477,205723.0,226,270,67,39,0,10,0,268,53,65,0,0,347,0,10,0,0,22,0,0,6,92,19,0,3,8,13,7,20,18,32,46,42,2,15,42,34,473,25,87,38,10
631,Jackson,2131,917,1214,1689,286,525,1130,242818.0,377,325,358,147,0,71,124,785,33,131,76,0,843,78,12,0,0,0,0,26,50,65,24,55,30,45,71,79,57,32,125,227,133,57,22,21,0,1767,223,144,107,22
464,Jackson,985,466,519,828,71,207,457,28008.0,67,115,140,84,10,44,24,315,39,35,29,0,374,26,0,0,0,0,0,0,9,53,18,16,37,40,36,52,26,19,42,45,23,6,4,12,0,745,15,203,147,3
156,Clay,3995,1938,2057,3586,125,514,1363,284853.0,264,1083,478,150,0,45,148,1219,117,262,305,0,1595,157,0,0,0,0,0,17,115,10,0,0,0,24,24,35,28,20,45,93,186,160,183,238,242,3623,8237,44,44,107
290,Jackson,1141,550,591,63,1019,1085,885,168589.0,398,29,121,137,0,5,70,227,12,81,41,0,239,24,97,0,0,0,0,0,0,127,163,88,56,35,18,1,5,10,15,9,13,9,0,1,7,42,1099,464,28,435
